citrus fruit,semi-finished bread,margarine,ready soups
canned beer,,,
whole milk,bottled beer,rum,
bottled beer,,,
other vegetables,whole milk,napkins,
rolls/buns,,,
sausage,,,
whole milk,margarine,potted plants,
canned beer,,,
onions,white bread,hygiene articles,
oil,,,
pet care,,,
chicken,ice cream,,
bottled water,canned beer,,
frozen potato products,bottled water,soda,
pip fruit,whole milk,newspapers,
yogurt,organic products,shopping bags,
sausage,rolls/buns,,
pork,,,
tropical fruit,waffles,newspapers,
sausage,hard cheese,pastry,
butter,curd,,
other vegetables,yogurt,whipped/sour cream,waffles
hard cheese,white bread,brown bread,
frankfurter,ham,pip fruit,domestic eggs
frankfurter,,,
whole milk,brown bread,pastry,
whole milk,margarine,,
other vegetables,whole milk,coffee,
yogurt,frozen vegetables,decalcifier,
whole milk,white bread,long life bakery product,
citrus fruit,napkins,shopping bags,
beverages,popcorn,,
other vegetables,rolls/buns,,
other vegetables,yogurt,,
UHT-milk,vinegar,waffles,chocolate
pet care,bottled water,misc. beverages,shopping bags
frozen meals,,,
sausage,newspapers,,
tropical fruit,,,
root vegetables,onions,hard cheese,frozen vegetables
coffee,long life bakery product,,
packaged fruit/vegetables,,,
butter,cleaner,,
waffles,,,
newspapers,,,
sausage,whole milk,sauces,
other vegetables,,,
chicken,root vegetables,,
hamburger meat,whole milk,canned vegetables,soda
rolls/buns,pastry,sugar,
liver loaf,root vegetables,other vegetables,
bottled beer,liquor,,
hamburger meat,whole milk,curd,dessert
white wine,,,
dessert,rolls/buns,waffles,
coffee,tea,,
soda,skin care,,
misc. beverages,,,
pork,pip fruit,,
pork,margarine,dishes,
soda,,,
ice cream,,,
curd,dog food,bottled beer,
whole milk,domestic eggs,brown bread,photo/film
bottled water,soda,female sanitary products,
sausage,sliced cheese,canned beer,
yogurt,domestic eggs,rolls/buns,
soda,,,
beef,other vegetables,newspapers,
rolls/buns,soda,,
tropical fruit,,,
whole milk,hard cheese,sugar,
frankfurter,rolls/buns,,
canned beer,,,
citrus fruit,other vegetables,whole milk,flour
bottled beer,,,
chicken,pork,frozen vegetables,margarine
cleaner,female sanitary products,,
other vegetables,chocolate marshmallow,,
fruit/vegetable juice,,,
citrus fruit,root vegetables,whole milk,coffee
whole milk,frozen dessert,margarine,snack products
yogurt,pastry,canned beer,red/blush wine
whole milk,bottled water,,
citrus fruit,semi-finished bread,,
other vegetables,frozen meals,specialty chocolate,
frozen dessert,softener,,
curd cheese,,,
other vegetables,fruit/vegetable juice,chewing gum,
white bread,,,
canned beer,,,
dishes,,,
rolls/buns,brown bread,bottled water,
other vegetables,canned beer,shopping bags,
citrus fruit,pip fruit,other vegetables,canned vegetables
whole milk,rolls/buns,potted plants,shopping bags
bottled water,soda,,
bottled beer,liquor,chewing gum,
rolls/buns,bottled beer,newspapers,
berries,yogurt,domestic eggs,rolls/buns
salty snack,specialty chocolate,,
specialty chocolate,,,
other vegetables,,,
soda,,,
root vegetables,,,
misc. beverages,,,
cream cheese,bottled water,canned beer,
sausage,,,
whole milk,,,
bottled beer,,,
soda,,,
whole milk,bottled water,bottled beer,
curd,specialty chocolate,,
soda,,,
rolls/buns,soda,,
tropical fruit,fruit/vegetable juice,candy,
ice cream,,,
sausage,pork,soda,
pork,other vegetables,,
whole milk,yogurt,,
soda,,,
soda,,,
pork,other vegetables,specialty fat,
other vegetables,butter,bottled water,detergent
citrus fruit,whole milk,potted plants,
newspapers,,,
sausage,yogurt,fruit/vegetable juice,shopping bags
rolls/buns,,,
bottled water,,,
salty snack,candy,,
whole milk,,,
misc. beverages,,,
citrus fruit,,,
hamburger meat,ketchup,,
other vegetables,chewing gum,,
ice cream,,,
rolls/buns,bottled water,bottled beer,
other vegetables,canned fish,soda,shopping bags
herbs,bottled water,napkins,
whole milk,,,
beef,root vegetables,other vegetables,whole milk
onions,roll products,,
ice cream,dishes,,
beverages,,,
newspapers,,,
sausage,rolls/buns,fruit/vegetable juice,
whole milk,beverages,bottled water,newspapers
butter,oil,cling film/bags,
newspapers,,,
whole milk,rolls/buns,,
UHT-milk,pastry,margarine,
beef,whole milk,,
other vegetables,condensed milk,coffee,detergent
frankfurter,ham,citrus fruit,other vegetables
pork,whole milk,pastry,sauces
bags,,,
tropical fruit,whole milk,bottled water,soda
pork,tropical fruit,,
herbs,whole milk,pastry,
ice cream,,,
frozen meals,soda,,
soda,,,
finished products,seasonal products,,
bottled water,soda,,
whole milk,rolls/buns,bottled beer,
whole milk,,,
bottled water,,,
canned beer,,,
rolls/buns,,,
soda,canned beer,,
whole milk,yogurt,,
long life bakery product,,,
sugar,bottled water,white wine,
frankfurter,citrus fruit,rolls/buns,soda
yogurt,rolls/buns,pastry,soda
pastry,pickled vegetables,canned beer,
pastry,canned beer,,
whole milk,specialty cheese,frozen vegetables,
canned beer,salty snack,chocolate,
bottled beer,,,
whole milk,,,
misc. beverages,,,
frozen vegetables,,,
sausage,sliced cheese,rolls/buns,soda
yogurt,,,
white bread,soda,shopping bags,
semi-finished bread,fruit/vegetable juice,newspapers,
oil,,,
pork,,,
canned beer,,,
oil,,,
sausage,whole milk,rolls/buns,
liver loaf,pip fruit,grapes,other vegetables
rolls/buns,shopping bags,,
pork,soda,canned beer,male cosmetics
pork,bottled water,bottled beer,
tropical fruit,soft cheese,rolls/buns,chocolate
misc. beverages,salty snack,,
whipped/sour cream,,,
tropical fruit,rolls/buns,bottled water,
whole milk,fruit/vegetable juice,chewing gum,shopping bags
pip fruit,whole milk,bottled water,candy
citrus fruit,tropical fruit,,
tropical fruit,mustard,sauces,
tropical fruit,curd,,
bottled beer,red/blush wine,,
beverages,,,
UHT-milk,brown bread,newspapers,
soda,,,
seasonal products,,,
sweet spreads,soda,waffles,
coffee,,,
softener,newspapers,,
UHT-milk,coffee,,
nuts/prunes,other vegetables,rum,
pork,hamburger meat,,
tropical fruit,rolls/buns,,
rolls/buns,coffee,bottled water,
yogurt,fruit/vegetable juice,,
citrus fruit,yogurt,soda,
rolls/buns,,,
whole milk,beverages,,
sausage,bottled water,red/blush wine,
canned beer,,,
bottled water,,,
oil,,,
misc. beverages,,,
chocolate,,,
rolls/buns,coffee,,
salty snack,,,
bottled water,canned beer,hygiene articles,
semi-finished bread,bottled beer,liquor,candy
pork,beef,soda,canned beer
yogurt,,,
artif. sweetener,soda,photo/film,
soda,,,
other vegetables,,,
frankfurter,rolls/buns,chewing gum,
tropical fruit,whole milk,,
other vegetables,white bread,soda,bottled beer
canned beer,,,
pork,newspapers,,
waffles,,,
oil,,,
whole milk,white wine,,
coffee,,,
whole milk,,,
bottled beer,,,
ham,sliced cheese,,
berries,beverages,canned beer,shopping bags
whole milk,cereals,,
canned beer,,,
condensed milk,pastry,chocolate,
chewing gum,napkins,,
fruit/vegetable juice,hygiene articles,napkins,
beverages,pastry,,
other vegetables,whipped/sour cream,roll products,
rolls/buns,bottled water,,
canned beer,,,
frozen meals,soda,shopping bags,
salty snack,,,
sausage,rolls/buns,,
waffles,,,
frankfurter,whole milk,butter,dessert
frozen vegetables,sugar,coffee,
bottled beer,,,
fruit/vegetable juice,,,
candles,,,
chicken,whole milk,white bread,
rolls/buns,,,
citrus fruit,frozen potato products,,
tropical fruit,root vegetables,rolls/buns,
sweet spreads,waffles,,
cling film/bags,,,
soda,,,
yogurt,specialty chocolate,seasonal products,
whole milk,,,
chocolate,,,
sausage,whole milk,canned beer,
ice cream,,,
whole milk,beverages,UHT-milk,soda
frankfurter,popcorn,,
canned beer,,,
canned beer,,,
citrus fruit,curd,semi-finished bread,mustard
tropical fruit,whole milk,beverages,rolls/buns
waffles,,,
white bread,,,
sausage,bottled beer,liquor,
beverages,specialty bar,,
rolls/buns,soda,,
canned beer,,,
newspapers,,,
bottled beer,seasonal products,,
